,Symbols
1939,TIGR
1940,TIL
1941,TILE
1942,TIPT
1943,TIRX
1944,TITN
1945,TLC
1946,TLIS
1947,TLMD
1948,TLND
1949,TLRY
1950,TLS
1951,TLSA
1952,TMDX
1953,TMKR
1954,TMTS
1955,TMUS
1956,TNDM
1957,TNXP
1958,TOUR
1959,TOWN
1960,TPCO
1961,TPIC
1962,TPTX
1963,TRCH
1964,TREE
1965,TRHC
1966,TRIL
1967,TRIN
1968,TRIP
1969,TRIT
1970,TRMB
1971,TRMD
1972,TRMK
1973,TRNS
1974,TROW
1975,TRS
1976,TRST
1977,TRUE
1978,TRUP
1979,TRVG
1980,TRVN
1981,TSBK
1982,TSC
1983,TSCAP
1984,TSCO
1985,TSEM
1986,TSHA
1987,TSIA
1988,TSLA
1989,TTCF
1990,TTD
1991,TTEC
1992,TTEK
1993,TTGT
1994,TTMI
1995,TTOO
1996,TTWO
1997,TUSK
1998,TVAC
1999,TVTX
2000,TVTY
2001,TW
2002,TWCT
2003,TWNK
2004,TWOU
2005,TWST
2006,TXG
2007,TXMD
2008,TXN
2009,TXRH
2010,TYME
2011,TZPS
2012,UAL
2013,UBSI
2014,UBX
2015,UCBI
2016,UCL
2017,UCTT
2018,UEIC
2019,UEPS
2020,UFCS
2021,UFPI
2022,UFPT
2023,UHAL
2024,UIHC
2025,UK
2026,ULH
2027,ULTA
2028,UMBF
2029,UMPQ
2030,UNIT
2031,UNTY
2032,UONE
2033,UPLD
2034,UPST
2035,UPWK
2036,URBN
2037,URGN
2038,UROV
2039,USAT
2040,USCR
2041,USLM
2042,UTHR
2043,UTMD
2044,UVSP
2045,UXIN
2046,VACQ
2047,VALU
2048,VAQC
2049,VBIV
2050,VBTX
2051,VC
2052,VCEL
2053,VCTR
2054,VCVC
2055,VCYT
2056,VECO
2057,VEON
2058,VERI
2059,VERU
2060,VERX
2061,VFF
2062,VG
2063,VIAC
2064,VIACA
2065,VIAV
2066,VICR
2067,VIEW
2068,VIH
2069,VII
2070,VINC
2071,VINP
2072,VIOT
2073,VIR
2074,VIRT
2075,VIRX
2076,VITL
2077,VIVO
2078,VKTX
2079,VLDR
2080,VLGEA
2081,VLY
2082,VMD
2083,VNDA
2084,VNET
2085,VNOM
2086,VOD
2087,VOR
2088,VOXX
2089,VRA
2090,VRAY
2091,VRCA
2092,VREX
2093,VRM
2094,VRNA
2095,VRNS
2096,VRNT
2097,VRRM
2098,VRSK
2099,VRSN
2100,VRTS
2101,VRTX
2102,VSAT
2103,VSEC
2104,VSPR
2105,VSTA
2106,VSTM
2107,VTGN
2108,VTRS
2109,VTRU
2110,VTVT
2111,VUZI
2112,VXRT
2113,VYNE
2114,WABC
2115,WAFD
2116,WASH
2117,WATT
2118,WB
2119,WBA
2120,WDAY
2121,WDC
2122,WDFC
2123,WEN
2124,WERN
2125,WETF
2126,WEYS
2127,WHF
2128,WIFI
2129,WILC
2130,WIMI
2131,WINA
2132,WING
2133,WIRE
2134,WISH
2135,WIX
2136,WKEY
2137,WKHS
2138,WLDN
2139,WLFC
2140,WLTW
2141,WMG
2142,WNEB
2143,WNW
2144,WOOF
2145,WPRT
2146,WRLD
2147,WSBC
2148,WSBF
2149,WSC
2150,WSFS
2151,WTBA
2152,WTFC
2153,WTRE
2154,WTRH
2155,WVE
2156,WW
2157,WWD
2158,WYNN
2159,XBIT
2160,XEL
2161,XENE
2162,XENT
2163,XERS
2164,XGN
2165,XLNX
2166,XLRN
2167,XM
2168,XNCR
2169,XNET
2170,XOG
2171,XOMA
2172,XONE
2173,XP
2174,XPEL
2175,XPER
2176,XRAY
2177,YELL
2178,YI
2179,YJ
2180,YMAB
2181,YNDX
2182,YORW
2183,YQ
2184,YY
2185,Z
2186,ZBRA
2187,ZEAL
2188,ZEUS
2189,ZG
2190,ZGNX
2191,ZI
2192,ZION
2193,ZIOP
2194,ZIXI
2195,ZLAB
2196,ZM
2197,ZNGA
2198,ZNTL
2199,ZS
2200,ZUMZ
2201,ZYXI
